17864	4461	2250	5996	other
17865	4461	2250	5996	other
17866	4461	2250	5996	other
17867	4461	2250	5996	other
17868	4461	2250	5996	empty
17869	-9999	2250	5996	wheel_1
17870	4461	2250	5996	4He
17871	4461	2250	5996	4He
17872	4461	2250	5996	12C
17873	4461	2250	5996	other
17874	4461	2250	5996	other
17875	4461	2250	5996	other
17876	4461	2250	5996	other
17877	4461	2250	5996	other
17881	4461	2250	5996	4He
17883	-9999	2250	5996	4He
17884	4461	2250	5996	4He
17885	4461	2250	5996	4He
17886	4461	2250	5996	4He
17899	4461	2250	5996	empty
17900	4461	2250	5996	wheel_2
17901	4461	2250	5996	12C
17902	4461	-9999	5996	12C
17903	4461	2250	5996	12C
17905	4461	2250	5996	12C
17907	4461	2250	5996	4He
17908	4461	2250	5996	4He
17909	4461	2250	5996	4He
17910	4461	2250	5996	4He
17912	4461	2250	5996	4He
17913	4461	2250	5996	4He
17914	4461	2250	5996	4He
17915	4461	2250	5996	4He
17916	4461	2250	5996	4He
17917	4461	2250	5996	4He
17918	-9999	2250	5996	4He
17919	4461	2250	5996	4He
17920	4461	2250	5996	4He
17921	4461	2250	5996	4He
17922	4461	2250	5996	4He
17924	4461	2250	5996	empty
17925	4461	2250	5996	wheel_1
17928	4461	2250	5996	4He
17929	4461	2250	5996	4He
17930	4461	2250	5996	4He
17937	4461	2250	5996	4He
17939	4461	2250	5996	4He
17940	4461	2250	5996	4He
17941	-9999	2250	5996	4He
17942	4461	2250	5996	empty
17947	-9999	2250	5996	wheel_1
17948	4461	2250	5996	4He
17949	4461	2250	5996	4He
17950	4461	2250	5996	4He
17951	4461	2250	5996	4He
17952	4461	2250	5996	4He
17953	4461	2250	5996	4He
17954	4461	2250	5996	4He
17955	4461	2250	5996	4He
17956	4461	2250	5996	4He
17957	4461	2250	5996	4He
17960	4461	2250	5996	4He
17961	4461	2250	5996	empty
17962	4461	2250	5996	56Fe
17971	4461	2250	5996	4He
17972	4461	2250	5996	4He
17978	4461	2250	5996	4He
17979	4461	2250	5996	4He
17980	4461	2250	5996	4He
17981	4461	2250	5996	4He
17987	4461	2250	5996	4He
17988	4461	2250	5996	4He
17989	4461	2250	5996	4He
17990	4461	2250	5996	4He
17991	4461	2250	5996	4He
17992	4461	2250	5996	empty
17993	4461	2250	5996	empty
17994	4461	2250	5996	empty
17995	4461	2250	5996	empty
17997	4461	2250	5996	12C
17998	4461	2250	5996	12C
17999	4461	2250	5996	12C
18000	4461	2250	5996	12C
18001	4461	2250	5996	12C
18002	4461	2250	5996	12C
18003	4461	2250	5996	12C
18004	4461	2250	5996	12C
18005	4461	2250	5996	12C
18006	4461	2250	5996	12C
18007	4461	2250	5996	12C
18014	4461	2250	5996	12C
18015	4461	2250	5996	12C
18016	4461	2250	5996	12C
18017	4461	2250	5996	12C
18018	4461	2250	5996	12C
18019	4461	2250	5996	12C
18020	4461	2250	5996	12C
18021	4461	2250	5996	12C
18023	4461	2250	5996	12C
18024	4461	2250	5996	12C
18025	4461	2250	5996	12C
18026	4461	2250	5996	12C
18028	4461	2250	5996	12C
18029	4461	2250	5996	12C
18030	4461	2250	5996	12C
